"erv.id","seqnames","start","end","width","hitgen","hitrefseq","scaff.start","scaff.end","score","subgenes"
"pCi23","contig10",12053020,12060346,7327,"MSTS01000031.1","NW_018343982.1",12053020,12060346,997,"5LTR PBS RT IN SU TM PPT 3LTR"
"pCi24","contig10",20259716,20266892,7177,"MSTS01000032.1","NW_018343983.1",201629,208805,944,"5LTR PBS NC RT IN SU TM PPT 3LTR"
"pCi25","contig10",24477118,24482663,5546,"MSTS01000032.1","NW_018343983.1",4419031,4424576,722,"NC RT IN TM PPT"
"pCi26","contig10",24697758,24704826,7069,"MSTS01000032.1","NW_018343983.1",4639671,4646739,937,"5LTR PBS NC RT IN TM PPT 3LTR"
"pCi27","contig10",24701180,24704366,3187,"MSTS01000032.1","NW_018343983.1",4643093,4646279,820,"RT IN TM PPT"
"pCi28","contig10",28702887,28710034,7148,"MSTS01000032.1","NW_018343983.1",8644800,8651947,790,"5LTR PBS Prot RT IN PPT 3LTR"
"pCi29","contig10",28702887,28710034,7148,"MSTS01000032.1","NW_018343983.1",8644800,8651947,893,"5LTR PBS MA NC RT IN PPT 3LTR"
"pCi30","contig10",33555655,33563608,7954,"MSTS01000032.1","NW_018343983.1",13497568,13505521,502,"5LTR PBS MA NC Prot IN TM PPT 3LTR"
"pCi31","contig10",34081627,34092110,10484,"MSTS01000032.1","NW_018343983.1",14023540,14034023,836,"5LTR PBS MA CA NC Prot RT IN TM PPT 3LTR"
"pCi32","contig10",34065571,34070370,4800,"MSTS01000032.1","NW_018343983.1",14007484,14012283,545,"PBS MA CA NC Prot RT IN"
"pCi33","contig10",34053937,34060759,6823,"MSTS01000032.1","NW_018343983.1",13995850,14002672,315,"5LTR PBS NC RT IN TM 3LTR"
"pCi34","contig10",36977799,36985688,7890,"MSTS01000032.1","NW_018343983.1",16919712,16927601,2156,"5LTR PBS CA NC DU Prot RT IN TM 3LTR"
"pCi35","contig10",41614893,41625452,10560,"MSTS01000033.1","NW_018343984.1",1959007,1969566,305,"5LTR PBS CA DU RT IN TM PPT 3LTR"
"pCi36","contig10",50719919,50735820,15902,"MSTS01000033.1","NW_018343984.1",11064033,11079934,401,"5LTR CA NC Prot RT IN TM PPT 3LTR"
"pCi37","contig10",54630250,54643639,13390,"MSTS01000033.1","NW_018343984.1",14974364,14987753,314,"5LTR PBS CA Prot IN TM PPT 3LTR"
"pCi38","contig10",69591361,69596952,5592,"MSTS01000034.1","NW_018343985.1",10392323,10397914,455,"5LTR PBS NC Prot RT IN TM PPT 3LTR"
"pCi39","contig10",75434800,75444504,9705,"MSTS01000034.1","NW_018343985.1",16235762,16245466,328,"MA CA NC Prot IN TM"
"pCi40","contig10",77620728,77629169,8442,"MSTS01000034.1","NW_018343985.1",18421690,18430131,335,"5LTR PBS MA CA NC RT IN TM PPT 3LTR"
"pCi41","contig10",80921396,80928214,6819,"MSTS01000035.1","NW_018343986.1",2520931,2527749,715,"5LTR PBS RT IN TM PPT 3LTR"
"pCi42","contig10",93638120,93646791,8672,"MSTS01000035.1","NW_018343986.1",15237655,15246326,1574,"5LTR PBS MA CA NC DU Prot RT IN TM PPT"
"pCi43","contig10",93766028,93775818,9791,"MSTS01000035.1","NW_018343986.1",15365563,15375353,1349,"5LTR PBS CA NC DU Prot RT IN PPT 3LTR"
"pCi44","contig10",93739202,93746634,7433,"MSTS01000035.1","NW_018343986.1",15338737,15346169,541,"5LTR PBS CA NC RT IN TM PPT 3LTR"
"pCi45","contig10",93921676,93929422,7747,"MSTS01000035.1","NW_018343986.1",15521211,15528957,631,"5LTR PBS CA NC RT IN TM PPT 3LTR"
"pCi46","contig10",94094618,94100914,6297,"MSTS01000035.1","NW_018343986.1",15694153,15700449,400,"CA Prot RT IN TM PPT"
"pCi47","contig10",95931709,95940026,8318,"MSTS01000035.1","NW_018343986.1",17531244,17539561,2775,"5LTR PBS MA CA NC DU Prot RT IN SU TM PPT 3LTR"
"pCi48","contig11",24805,33210,8406,"MSTS01000036.1","NW_018343987.1",24805,33210,2707,"5LTR PBS MA CA NC DU Prot RT IN SU TM PPT 3LTR"
"pCi49","contig11",18078287,18089645,11359,"MSTS01000036.1","NW_018343987.1",18078287,18089645,347,"5LTR PBS MA CA NC Prot RT IN TM 3LTR"
"pCi50","contig11",18161961,18166867,4907,"MSTS01000036.1","NW_018343987.1",18161961,18166867,1862,"PBS MA CA NC DU Prot RT IN"
"pCi51","contig11",22383546,22391037,7492,"MSTS01000037.1","NW_018343988.1",4198757,4206248,903,"5LTR PBS RT IN SU TM PPT 3LTR"
"pCi52","contig11",36320885,36326893,6009,"MSTS01000037.1","NW_018343988.1",18136096,18142104,1220,"5LTR PBS RT IN TM PPT 3LTR"
"pCi53","contig11",3674299,3681756,7458,"MSTS01000036.1","NW_018343987.1",3674299,3681756,831,"5LTR PBS RT IN SU TM PPT 3LTR"
"pCi54","contig11",38945514,38953153,7640,"MSTS01000038.1","NW_018343989.1",2579482,2587121,624,"5LTR MA CA NC Prot RT SU TM PPT 3LTR"
"pCi55","contig11",42640226,42655071,14846,"MSTS01000038.1","NW_018343989.1",6274194,6289039,316,"5LTR PBS CA Prot IN TM PPT 3LTR"
"pCi56","contig11",43103414,43111034,7621,"MSTS01000038.1","NW_018343989.1",6737382,6745002,1508,"5LTR PBS MA CA NC DU Prot RT IN TM PPT 3LTR"
"pCi57","contig11",43103414,43111034,7621,"MSTS01000038.1","NW_018343989.1",6737382,6745002,1473,"5LTR PBS MA CA NC DU Prot RT IN TM PPT 3LTR"
"pCi58","contig11",45512691,45520809,8119,"MSTS01000038.1","NW_018343989.1",9146659,9154777,466,"5LTR PBS CA NC Prot RT IN TM PPT 3LTR"
"pCi59","contig11",45904757,45910965,6209,"MSTS01000038.1","NW_018343989.1",9538725,9544933,328,"PBS MA CA NC Prot RT SU PPT"
"pCi60","contig11",45904757,45910965,6209,"MSTS01000038.1","NW_018343989.1",9538725,9544933,313,"PBS MA CA NC Prot RT SU PPT"
"pCi61","contig11",49889178,49894876,5699,"MSTS01000038.1","NW_018343989.1",13523146,13528844,303,"5LTR PBS RT IN TM PPT 3LTR"
"pCi62","contig11",50854680,50860828,6149,"MSTS01000038.1","NW_018343989.1",14488648,14494796,396,"5LTR PBS MA CA Prot IN PPT 3LTR"
"pCi63","contig11",51352011,51359193,7183,"MSTS01000038.1","NW_018343989.1",14985979,14993161,727,"5LTR PBS MA CA NC Prot RT IN PPT 3LTR"
"pCi64","contig11",51598626,51605517,6892,"MSTS01000038.1","NW_018343989.1",15232594,15239485,941,"5LTR PBS MA NC RT IN SU TM PPT 3LTR"
"pCi65","contig11",51600927,51605295,4369,"MSTS01000038.1","NW_018343989.1",15234895,15239263,832,"PBS MA NC RT IN"
"pCi66","contig11",52158893,52166960,8068,"MSTS01000038.1","NW_018343989.1",15792861,15800928,605,"5LTR PBS MA CA NC Prot IN TM PPT 3LTR"
"pCi67","contig11",54330344,54337786,7443,"MSTS01000038.1","NW_018343989.1",17964312,17971754,321,"5LTR PBS CA Prot IN TM PPT 3LTR"
"pCi68","contig11",54970673,54975529,4857,"MSTS01000039.1","NW_018343990.1",524043,528899,360,"NC RT IN TM PPT"
"pCi69","contig11",58875389,58879763,4375,"MSTS01000039.1","NW_018343990.1",4428759,4433133,324,"5LTR PBS CA Prot IN 3LTR"
"pCi70","contig11",7187891,7195489,7599,"MSTS01000036.1","NW_018343987.1",7187891,7195489,714,"5LTR PBS NC RT IN TM PPT 3LTR"
"pCi71","contig11",72146858,72153792,6935,"MSTS01000039.1","NW_018343990.1",17700228,17707162,1765,"5LTR PBS MA CA NC DU Prot RT IN PPT 3LTR"
"pCi72","contig11",72809205,72817116,7912,"MSTS01000040.1","NW_018343991.1",357245,365156,392,"5LTR PBS CA NC RT IN TM PPT 3LTR"
"pCi73","contig11",73514132,73521642,7511,"MSTS01000040.1","NW_018343991.1",1062172,1069682,1007,"5LTR PBS NC RT IN TM PPT 3LTR"
"pCi74","contig11",77515005,77521017,6013,"MSTS01000040.1","NW_018343991.1",5063045,5069057,354,"5LTR Prot RT IN TM PPT 3LTR"
"pCi75","contig11",82864917,82876697,11781,"MSTS01000040.1","NW_018343991.1",10412957,10424737,308,"5LTR PBS CA NC RT IN TM PPT 3LTR"
"pCi76","contig11",83551184,83557906,6723,"MSTS01000040.1","NW_018343991.1",11099224,11105946,642,"5LTR PBS CA Prot RT IN TM 3LTR"
"pCi77","contig11",84603466,84608913,5448,"MSTS01000040.1","NW_018343991.1",12151506,12156953,474,"MA CA NC Prot RT IN"
"pCi78","contig11",84603466,84608880,5415,"MSTS01000040.1","NW_018343991.1",12151506,12156920,488,"MA CA NC Prot RT IN"
"pCi79","contig11",8410793,8419298,8506,"MSTS01000036.1","NW_018343987.1",8410793,8419298,461,"5LTR PBS CA Prot IN SU TM PPT 3LTR"
"pCi80","contig11",86789940,86793341,3402,"MSTS01000040.1","NW_018343991.1",14337980,14341381,445,"Prot RT IN TM PPT"
"pCi81","contig12",14870251,14881484,11234,"MSTS01000041.1","NW_018343992.1",14870251,14881484,444,"5LTR PBS CA NC Prot RT IN TM 3LTR"
"pCi82","contig12",18119262,18124707,5446,"MSTS01000042.1","NW_018343993.1",265375,270820,824,"DU RT IN SU TM PPT"
"pCi83","contig12",18354473,18361027,6555,"MSTS01000042.1","NW_018343993.1",500586,507140,531,"5LTR PBS CA Prot RT IN TM 3LTR"
"pCi84","contig12",19598644,19602136,3493,"MSTS01000042.1","NW_018343993.1",1744757,1748249,1465,"CA NC DU Prot RT IN"
"pCi85","contig12",19600076,19602136,2061,"MSTS01000042.1","NW_018343993.1",1746189,1748249,1054,"CA NC DU Prot RT"
"pCi86","contig12",20109925,20122978,13054,"MSTS01000042.1","NW_018343993.1",2256038,2269091,459,"5LTR PBS CA NC Prot RT IN TM PPT 3LTR"
"pCi87","contig12",21330992,21341875,10884,"MSTS01000042.1","NW_018343993.1",3477105,3487988,313,"5LTR PBS CA NC RT IN TM PPT 3LTR"
"pCi88","contig12",27597529,27607365,9837,"MSTS01000042.1","NW_018343993.1",9743642,9753478,459,"PBS MA CA NC Prot IN PPT 3LTR"
"pCi89","contig12",27861144,27866499,5356,"MSTS01000042.1","NW_018343993.1",10007257,10012612,501,"5LTR PBS MA CA NC RT 3LTR"
"pCi90","contig12",28119444,28127318,7875,"MSTS01000042.1","NW_018343993.1",10265557,10273431,2149,"5LTR PBS CA NC DU Prot RT IN TM PPT 3LTR"
"pCi91","contig12",30267055,30271243,4189,"MSTS01000042.1","NW_018343993.1",12413168,12417356,302,"PBS MA CA NC RT IN"
"pCi92","contig12",33627534,33634866,7333,"MSTS01000042.1","NW_018343993.1",15773647,15780979,422,"5LTR PBS MA CA NC Prot IN SU 3LTR"
"pCi93","contig12",34650925,34658714,7790,"MSTS01000042.1","NW_018343993.1",16797038,16804827,487,"5LTR PBS CA NC DU RT IN TM PPT 3LTR"
"pCi94","contig12",47277141,47284724,7584,"MSTS01000043.1","NW_018343994.1",11655563,11663146,724,"5LTR PBS NC RT IN SU TM PPT 3LTR"
"pCi95","contig12",66472492,66477612,5121,"MSTS01000044.1","NW_018343995.1",13377953,13383073,412,"CA Prot IN SU TM PPT 3LTR"
"pCi96","contig12",68021332,68028741,7410,"MSTS01000044.1","NW_018343995.1",14926793,14934202,1605,"5LTR PBS CA NC Prot RT IN 3LTR"
"pCi97","contig12",79078493,79089059,10567,"MSTS01000045.1","NW_018343996.1",8874850,8885416,324,"5LTR MA CA Prot IN TM PPT 3LTR"
"pCi98","contig12",83621698,83629519,7822,"MSTS01000045.1","NW_018343996.1",13418055,13425876,958,"5LTR PBS MA NC RT IN SU TM PPT 3LTR"
"pCi99","contig12",83882717,83889554,6838,"MSTS01000045.1","NW_018343996.1",13679074,13685911,966,"5LTR PBS CA NC RT IN TM PPT 3LTR"
"pCi100","contig12",83917235,83924173,6939,"MSTS01000045.1","NW_018343996.1",13713592,13720530,1064,"5LTR PBS CA NC RT IN TM PPT 3LTR"
"pCi101","contig13",19041118,19047121,6004,"MSTS01000047.1","NW_018343998.1",2102017,2108020,631,"CA NC DU RT IN SU"
"pCi102","contig13",22624928,22632808,7881,"MSTS01000047.1","NW_018343998.1",5685827,5693707,507,"5LTR PBS MA NC Prot IN TM PPT 3LTR"
"pCi103","contig13",24539796,24553637,13842,"MSTS01000047.1","NW_018343998.1",7600695,7614536,304,"5LTR CA NC RT IN TM PPT 3LTR"
"pCi104","contig13",25368771,25377515,8745,"MSTS01000047.1","NW_018343998.1",8429670,8438414,1006,"5LTR PBS MA CA NC Prot RT IN SU TM PPT 3LTR"
"pCi105","contig13",28914587,28920962,6376,"MSTS01000047.1","NW_018343998.1",11975486,11981861,313,"CA NC Prot RT IN TM PPT"
"pCi106","contig13",30769672,30780648,10977,"MSTS01000047.1","NW_018343998.1",13830571,13841547,307,"5LTR PBS CA Prot RT IN TM PPT 3LTR"
"pCi107","contig13",31759254,31764151,4898,"MSTS01000047.1","NW_018343998.1",14820153,14825050,323,"PBS MA CA NC Prot IN"
"pCi108","contig13",33263150,33270719,7570,"MSTS01000047.1","NW_018343998.1",16324049,16331618,1417,"5LTR PBS NC Prot RT IN TM PPT 3LTR"
"pCi109","contig13",33655828,33661553,5726,"MSTS01000047.1","NW_018343998.1",16716727,16722452,343,"5LTR PBS RT IN TM PPT 3LTR"
"pCi110","contig13",41018548,41022688,4141,"MSTS01000048.1","NW_018343999.1",7234913,7239053,832,"RT IN SU TM PPT"
"pCi111","contig13",41081793,41088592,6800,"MSTS01000048.1","NW_018343999.1",7298158,7304957,327,"5LTR PBS RT IN TM 3LTR"
"pCi112","contig13",49325434,49332117,6684,"MSTS01000048.1","NW_018343999.1",15541799,15548482,363,"5LTR PBS CA DU DL TM PPT 3LTR"
"pCi113","contig13",49849317,49862875,13559,"MSTS01000048.1","NW_018343999.1",16065682,16079240,316,"5LTR PBS CA NC IN TM PPT 3LTR"
"pCi114","contig13",55758277,55763826,5550,"MSTS01000049.1","NW_018344000.1",5487625,5493174,830,"NC RT IN TM PPT"
"pCi115","contig13",57820766,57834109,13344,"MSTS01000049.1","NW_018344000.1",7550114,7563457,305,"5LTR PBS CA Prot IN TM PPT 3LTR"
"pCi116","contig13",60645100,60648527,3428,"MSTS01000049.1","NW_018344000.1",10374448,10377875,790,"RT IN TM PPT"
"pCi117","contig13",60648923,60654582,5660,"MSTS01000049.1","NW_018344000.1",10378271,10383930,558,"5LTR PBS CA Prot RT IN TM PPT 3LTR"
"pCi118","contig13",6172285,6180977,8693,"MSTS01000046.1","NW_018343997.1",6172285,6180977,1196,"5LTR PBS MA CA NC Prot RT IN SU TM PPT 3LTR"
"pCi119","contig13",62978710,62986582,7873,"MSTS01000049.1","NW_018344000.1",12708058,12715930,403,"5LTR PBS CA Prot IN TM PPT 3LTR"
"pCi120","contig13",64612288,64613839,1552,"MSTS01000049.1","NW_018344000.1",14341636,14343187,859,"RT IN SU"
"pCi121","contig13",64608978,64616142,7165,"MSTS01000049.1","NW_018344000.1",14338326,14345490,1085,"5LTR PBS RT IN SU TM PPT 3LTR"
"pCi123","contig13",70732966,70737479,4514,"MSTS01000050.1","NW_018344001.1",4253161,4257674,453,"PBS CA NC RT IN"
"pCi124","contig13",70923719,70929325,5607,"MSTS01000050.1","NW_018344001.1",4443914,4449520,792,"5LTR PBS MA CA NC Prot IN 3LTR"
"pCi125","contig13",77235289,77242036,6748,"MSTS01000050.1","NW_018344001.1",10755484,10762231,1198,"5LTR PBS MA CA NC RT IN TM PPT 3LTR"
"pCi126","contig13",8225270,8232830,7561,"MSTS01000046.1","NW_018343997.1",8225270,8232830,458,"5LTR PBS MA CA NC RT IN TM PPT"
"pCi127","contig13",8889442,8898448,9007,"MSTS01000046.1","NW_018343997.1",8889442,8898448,326,"5LTR PBS MA CA NC DU RT IN TM PPT"
"pCi128","contig14",47351119,47356214,5096,"MSTS01000054.1","NW_018344005.1",1520063,1525158,355,"CA Prot RT IN TM PPT"
"pCi129","contig14",48145978,48156520,10543,"MSTS01000054.1","NW_018344005.1",2314922,2325464,313,"5LTR PBS MA CA Prot RT IN TM PPT 3LTR"
"pCi130","contig14",53055487,53060363,4877,"MSTS01000054.1","NW_018344005.1",7224431,7229307,923,"PBS MA NC RT IN"
"pCi131","contig14",5733536,5741889,8354,"MSTS01000051.1","NW_018344002.1",5733536,5741889,457,"PBS MA CA NC Prot RT IN TM PPT"
"pCi133","contig14",58342296,58348173,5878,"MSTS01000054.1","NW_018344005.1",12511240,12517117,454,"CA NC Prot RT IN TM PPT"
"pCi134","contig14",6320607,6331286,10680,"MSTS01000051.1","NW_018344002.1",6320607,6331286,504,"5LTR PBS MA CA NC Prot RT IN TM 3LTR"
"pCi135","contig14",67992955,68000455,7501,"MSTS01000055.1","NW_018344006.1",7632487,7639987,1167,"5LTR PBS CA NC RT IN TM PPT 3LTR"
"pCi136","contig14",7021498,7029354,7857,"MSTS01000051.1","NW_018344002.1",7021498,7029354,659,"5LTR PBS MA NC Prot RT IN TM PPT 3LTR"
"pCi137","contig14",71244511,71248291,3781,"MSTS01000055.1","NW_018344006.1",10884043,10887823,369,"RT IN TM PPT"
"pCi138","contig14",74520352,74528644,8293,"MSTS01000055.1","NW_018344006.1",14159884,14168176,2547,"5LTR PBS MA CA NC Prot RT IN SU TM PPT 3LTR"
"pCi139","contig14",82028625,82033764,5140,"MSTS01000056.1","NW_018344007.1",7168747,7173886,777,"RT IN TM PPT"
"pCi140","contig14",85417133,85425467,8335,"MSTS01000056.1","NW_018344007.1",10557255,10565589,2650,"5LTR PBS MA CA NC Prot RT IN SU TM PPT 3LTR"
"pCi141","contig14",85501052,85506357,5306,"MSTS01000056.1","NW_018344007.1",10641174,10646479,405,"5LTR PBS MA CA NC RT IN 3LTR"
"pCi142","contig14",88318744,88325588,6845,"MSTS01000056.1","NW_018344007.1",13458866,13465710,366,"5LTR PBS Prot RT IN TM 3LTR"
"pCi143","contig15",9997481,10005435,7955,"MSTS01000057.1","NW_018344008.1",9997481,10005435,491,"5LTR PBS MA CA Prot IN TM PPT 3LTR"
"pCi144","contig15",10542715,10551146,8432,"MSTS01000057.1","NW_018344008.1",10542715,10551146,315,"5LTR MA CA NC Prot IN PPT 3LTR"
"pCi145","contig15",24262717,24274719,12003,"MSTS01000058.1","NW_018344009.1",9908433,9920435,442,"5LTR PBS NC RT IN TM PPT 3LTR"
"pCi146","contig15",31146737,31153576,6840,"MSTS01000059.1","NW_018344010.1",2467841,2474680,404,"5LTR PBS Prot RT IN TM 3LTR"
"pCi147","contig15",31586245,31594074,7830,"MSTS01000059.1","NW_018344010.1",2907349,2915178,1995,"5LTR PBS CA NC DU Prot RT IN TM PPT 3LTR"
"pCi148","contig15",33235421,33242209,6789,"MSTS01000059.1","NW_018344010.1",4556525,4563313,375,"5LTR PBS MA CA Prot RT IN PPT"
"pCi149","contig15",33333375,33340050,6676,"MSTS01000059.1","NW_018344010.1",4654479,4661154,652,"5LTR PBS NC RT IN PPT 3LTR"
"pCi150","contig15",34166768,34170523,3756,"MSTS01000059.1","NW_018344010.1",5487872,5491627,805,"RT IN SU TM PPT"
"pCi151","contig15",35519823,35526872,7050,"MSTS01000059.1","NW_018344010.1",6840927,6847976,392,"5LTR PBS MA RT IN TM PPT 3LTR"
"pCi152","contig15",36241973,36250975,9003,"MSTS01000059.1","NW_018344010.1",7563077,7572079,494,"PBS MA CA NC RT IN TM PPT"
"pCi153","contig15",36300793,36310375,9583,"MSTS01000059.1","NW_018344010.1",7621897,7631479,423,"5LTR PBS CA Prot IN TM PPT"
"pCi154","contig15",37295867,37303084,7218,"MSTS01000059.1","NW_018344010.1",8616971,8624188,403,"MA NC RT IN TM PPT 3LTR"
"pCi155","contig15",37300900,37302722,1823,"MSTS01000059.1","NW_018344010.1",8622004,8623826,338,"IN TM PPT"
"pCi156","contig15",50560193,50565631,5439,"MSTS01000060.1","NW_018344011.1",7579757,7585195,337,"5LTR PBS NC Prot 3LTR"
"pCi157","contig15",5012031,5018626,6596,"MSTS01000057.1","NW_018344008.1",5012031,5018626,636,"5LTR MA CA NC Prot RT IN SU TM PPT 3LTR"
"pCi158","contig15",51142338,51149106,6769,"MSTS01000060.1","NW_018344011.1",8161902,8168670,364,"PBS MA CA Prot IN SU PPT"
"pCi159","contig15",57627106,57637385,10280,"MSTS01000061.1","NW_018344012.1",394926,405205,301,"5LTR PBS CA Prot IN TM PPT 3LTR"
"pCi160","contig15",59519182,59522074,2893,"MSTS01000061.1","NW_018344012.1",2287002,2289894,537,"RT IN TM"
"pCi161","contig15",65002321,65009883,7563,"MSTS01000061.1","NW_018344012.1",7770141,7777703,858,"5LTR PBS MA CA NC RT IN SU TM PPT 3LTR"
"pCi162","contig15",64926985,64940440,13456,"MSTS01000061.1","NW_018344012.1",7694805,7708260,306,"5LTR CA NC Prot IN TM 3LTR"
"pCi163","contig15",65002321,65009883,7563,"MSTS01000061.1","NW_018344012.1",7770141,7777703,859,"5LTR PBS MA CA NC RT IN SU TM PPT 3LTR"
"pCi164","contig15",65576218,65584253,8036,"MSTS01000061.1","NW_018344012.1",8344038,8352073,397,"5LTR PBS MA NC Prot IN TM PPT 3LTR"
"pCi165","contig15",65626861,65632234,5374,"MSTS01000061.1","NW_018344012.1",8394681,8400054,883,"CA NC Prot RT IN TM PPT"
"pCi166","contig15",72603056,72609601,6546,"MSTS01000062.1","NW_018344013.1",1170173,1176718,464,"CA NC Prot RT IN TM PPT"
"pCi167","contig15",72603056,72609601,6546,"MSTS01000062.1","NW_018344013.1",1170173,1176718,475,"CA NC Prot RT IN TM PPT"
"pCi168","contig15",74707056,74714955,7900,"MSTS01000062.1","NW_018344013.1",3274173,3282072,552,"5LTR PBS MA NC Prot IN TM PPT 3LTR"
"pCi169","contig15",74707071,74715087,8017,"MSTS01000062.1","NW_018344013.1",3274188,3282204,604,"5LTR PBS MA NC Prot IN TM PPT 3LTR"
"pCi170","contig15",75338493,75346125,7633,"MSTS01000062.1","NW_018344013.1",3905610,3913242,2460,"5LTR PBS CA NC DU Prot RT IN TM PPT 3LTR"
"pCi171","contig15",78403866,78407612,3747,"MSTS01000062.1","NW_018344013.1",6970983,6974729,761,"RT IN TM PPT"
"pCi172","contig15",78403866,78408950,5085,"MSTS01000062.1","NW_018344013.1",6970983,6976067,763,"NC RT IN TM PPT"
"pCi173","contig15",81220953,81228765,7813,"MSTS01000062.1","NW_018344013.1",9788070,9795882,832,"5LTR PBS CA NC RT IN SU TM PPT 3LTR"
"pCi174","contig15",81207093,81215126,8034,"MSTS01000062.1","NW_018344013.1",9774210,9782243,347,"5LTR PBS CA Prot RT IN SU PPT 3LTR"
"pCi175","contig15",82344961,82352991,8031,"MSTS01000062.1","NW_018344013.1",10912078,10920108,536,"5LTR PBS MA NC Prot IN TM PPT 3LTR"
"pCi176","contig15",8279845,8286458,6614,"MSTS01000057.1","NW_018344008.1",8279845,8286458,973,"5LTR PBS CA NC RT IN 3LTR"
"pCi177","contig15",8446088,8455638,9551,"MSTS01000057.1","NW_018344008.1",8446088,8455638,523,"5LTR PBS CA NC Prot RT IN TM PPT 3LTR"
"pCi178","contig15",855262,867090,11829,"MSTS01000057.1","NW_018344008.1",855262,867090,303,"5LTR PBS CA Prot RT IN TM 3LTR"
"pCi179","contig16",990343,997244,6902,"MSTS01000063.1","NW_018344014.1",990343,997244,644,"5LTR PBS CA Prot RT IN TM PPT 3LTR"
"pCi180","contig16",10451705,10459321,7617,"MSTS01000063.1","NW_018344014.1",10451705,10459321,854,"5LTR PBS NC RT IN TM PPT 3LTR"
"pCi181","contig16",11009473,11021555,12083,"MSTS01000063.1","NW_018344014.1",11009473,11021555,337,"5LTR PBS CA Prot IN TM PPT 3LTR"
"pCi182","contig16",11526715,11532848,6134,"MSTS01000063.1","NW_018344014.1",11526715,11532848,559,"5LTR PBS NC RT SU 3LTR"
"pCi183","contig16",13830831,13837132,6302,"MSTS01000063.1","NW_018344014.1",13830831,13837132,1269,"CA NC DU Prot RT IN TM PPT"
"pCi184","contig16",13869908,13876652,6745,"MSTS01000063.1","NW_018344014.1",13869908,13876652,469,"5LTR PBS CA NC RT IN TM PPT 3LTR"
"pCi185","contig16",13925603,13934308,8706,"MSTS01000063.1","NW_018344014.1",13925603,13934308,445,"5LTR PBS CA IN TM PPT 3LTR"
"pCi186","contig16",128382,134715,6334,"MSTS01000063.1","NW_018344014.1",128382,134715,620,"5LTR PBS MA NC DU RT IN PPT 3LTR"
