"scaffold","genbank.accn","refseq.accn","scaffold.len"
"phaCin_unsw_v4.1.fa.scaf00094","MSTS01000094.1","NW_018344045.1",10919598
"phaCin_unsw_v4.1.fa.scaf00095","MSTS01000095.1","NW_018344046.1",10895455
"phaCin_unsw_v4.1.fa.scaf00096","MSTS01000096.1","NW_018344047.1",10882383
"phaCin_unsw_v4.1.fa.scaf00097","MSTS01000097.1","NW_018344048.1",10855337
"phaCin_unsw_v4.1.fa.scaf00098","MSTS01000098.1","NW_018344049.1",10744776
"phaCin_unsw_v4.1.fa.scaf00099","MSTS01000099.1","NW_018344050.1",10716452
"phaCin_unsw_v4.1.fa.scaf00100","MSTS01000100.1","NW_018344051.1",10668473
"phaCin_unsw_v4.1.fa.scaf00101","MSTS01000101.1","NW_018344052.1",10657027
"phaCin_unsw_v4.1.fa.scaf00102","MSTS01000102.1","NW_018344053.1",10610630
"phaCin_unsw_v4.1.fa.scaf00103","MSTS01000103.1","NW_018344054.1",10584223
"phaCin_unsw_v4.1.fa.scaf00104","MSTS01000104.1","NW_018344055.1",10254977
"phaCin_unsw_v4.1.fa.scaf00105","MSTS01000105.1","NW_018344056.1",10126625
"phaCin_unsw_v4.1.fa.scaf00106","MSTS01000106.1","NW_018344057.1",9962685
"phaCin_unsw_v4.1.fa.scaf00107","MSTS01000107.1","NW_018344058.1",9951565
"phaCin_unsw_v4.1.fa.scaf00108","MSTS01000108.1","NW_018344059.1",9913748
"phaCin_unsw_v4.1.fa.scaf00109","MSTS01000109.1","NW_018344060.1",9879199
"phaCin_unsw_v4.1.fa.scaf00110","MSTS01000110.1","NW_018344061.1",9839744
"phaCin_unsw_v4.1.fa.scaf00111","MSTS01000111.1","NW_018344062.1",9823651
"phaCin_unsw_v4.1.fa.scaf00112","MSTS01000112.1","NW_018344063.1",9816929
"phaCin_unsw_v4.1.fa.scaf00113","MSTS01000113.1","NW_018344064.1",9746156
"phaCin_unsw_v4.1.fa.scaf00114","MSTS01000114.1","NW_018344065.1",9699132
"phaCin_unsw_v4.1.fa.scaf00115","MSTS01000115.1","NW_018344066.1",9684211
"phaCin_unsw_v4.1.fa.scaf00116","MSTS01000116.1","NW_018344067.1",9671325
"phaCin_unsw_v4.1.fa.scaf00117","MSTS01000117.1","NW_018344068.1",9621972
"phaCin_unsw_v4.1.fa.scaf00118","MSTS01000118.1","NW_018344069.1",9585089
"phaCin_unsw_v4.1.fa.scaf00119","MSTS01000119.1","NW_018344070.1",9574263
"phaCin_unsw_v4.1.fa.scaf00120","MSTS01000120.1","NW_018344071.1",9543104
"phaCin_unsw_v4.1.fa.scaf00121","MSTS01000121.1","NW_018344072.1",9538988
"phaCin_unsw_v4.1.fa.scaf00122","MSTS01000122.1","NW_018344073.1",9479940
"phaCin_unsw_v4.1.fa.scaf00123","MSTS01000123.1","NW_018344074.1",9435175
"phaCin_unsw_v4.1.fa.scaf00124","MSTS01000124.1","NW_018344075.1",9335383
"phaCin_unsw_v4.1.fa.scaf00125","MSTS01000125.1","NW_018344076.1",9245798
"phaCin_unsw_v4.1.fa.scaf00126","MSTS01000126.1","NW_018344077.1",9245532
"phaCin_unsw_v4.1.fa.scaf00127","MSTS01000127.1","NW_018344078.1",9231752
"phaCin_unsw_v4.1.fa.scaf00128","MSTS01000128.1","NW_018344079.1",9152037
"phaCin_unsw_v4.1.fa.scaf00129","MSTS01000129.1","NW_018344080.1",9086063
"phaCin_unsw_v4.1.fa.scaf00130","MSTS01000130.1","NW_018344081.1",9061243
"phaCin_unsw_v4.1.fa.scaf00131","MSTS01000131.1","NW_018344082.1",8971046
"phaCin_unsw_v4.1.fa.scaf00132","MSTS01000132.1","NW_018344083.1",8869828
"phaCin_unsw_v4.1.fa.scaf00133","MSTS01000133.1","NW_018344084.1",8743187
"phaCin_unsw_v4.1.fa.scaf00134","MSTS01000134.1","NW_018344085.1",8699209
"phaCin_unsw_v4.1.fa.scaf00135","MSTS01000135.1","NW_018344086.1",8662199
"phaCin_unsw_v4.1.fa.scaf00136","MSTS01000136.1","NW_018344087.1",8516960
"phaCin_unsw_v4.1.fa.scaf00137","MSTS01000137.1","NW_018344088.1",8434837
"phaCin_unsw_v4.1.fa.scaf00138","MSTS01000138.1","NW_018344089.1",8420297
"phaCin_unsw_v4.1.fa.scaf00139","MSTS01000139.1","NW_018344090.1",8411602
"phaCin_unsw_v4.1.fa.scaf00140","MSTS01000140.1","NW_018344091.1",8386802
"phaCin_unsw_v4.1.fa.scaf00141","MSTS01000141.1","NW_018344092.1",8328668
"phaCin_unsw_v4.1.fa.scaf00142","MSTS01000142.1","NW_018344093.1",8253156
"phaCin_unsw_v4.1.fa.scaf00143","MSTS01000143.1","NW_018344094.1",8197417
"phaCin_unsw_v4.1.fa.scaf00144","MSTS01000144.1","NW_018344095.1",8191434
"phaCin_unsw_v4.1.fa.scaf00145","MSTS01000145.1","NW_018344096.1",8146456
"phaCin_unsw_v4.1.fa.scaf00146","MSTS01000146.1","NW_018344097.1",8141488
"phaCin_unsw_v4.1.fa.scaf00147","MSTS01000147.1","NW_018344098.1",8099378
"phaCin_unsw_v4.1.fa.scaf00148","MSTS01000148.1","NW_018344099.1",8090040
"phaCin_unsw_v4.1.fa.scaf00149","MSTS01000149.1","NW_018344100.1",8015001
"phaCin_unsw_v4.1.fa.scaf00150","MSTS01000150.1","NW_018344101.1",7919000
"phaCin_unsw_v4.1.fa.scaf00151","MSTS01000151.1","NW_018344102.1",7910733
"phaCin_unsw_v4.1.fa.scaf00152","MSTS01000152.1","NW_018344103.1",7886015
"phaCin_unsw_v4.1.fa.scaf00153","MSTS01000153.1","NW_018344104.1",7808901
"phaCin_unsw_v4.1.fa.scaf00154","MSTS01000154.1","NW_018344105.1",7791096
"phaCin_unsw_v4.1.fa.scaf00155","MSTS01000155.1","NW_018344106.1",7708771
"phaCin_unsw_v4.1.fa.scaf00156","MSTS01000156.1","NW_018344107.1",7582053
"phaCin_unsw_v4.1.fa.scaf00157","MSTS01000157.1","NW_018344108.1",7550399
"phaCin_unsw_v4.1.fa.scaf00158","MSTS01000158.1","NW_018344109.1",7544082
"phaCin_unsw_v4.1.fa.scaf00159","MSTS01000159.1","NW_018344110.1",7530659
"phaCin_unsw_v4.1.fa.scaf00160","MSTS01000160.1","NW_018344111.1",7493426
"phaCin_unsw_v4.1.fa.scaf00161","MSTS01000161.1","NW_018344112.1",7465975
"phaCin_unsw_v4.1.fa.scaf00162","MSTS01000162.1","NW_018344113.1",7406868
"phaCin_unsw_v4.1.fa.scaf00163","MSTS01000163.1","NW_018344114.1",7366820
"phaCin_unsw_v4.1.fa.scaf00164","MSTS01000164.1","NW_018344115.1",7354868
"phaCin_unsw_v4.1.fa.scaf00165","MSTS01000165.1","NW_018344116.1",7268927
"phaCin_unsw_v4.1.fa.scaf00166","MSTS01000166.1","NW_018344117.1",7226300
"phaCin_unsw_v4.1.fa.scaf00167","MSTS01000167.1","NW_018344118.1",7199477
"phaCin_unsw_v4.1.fa.scaf00168","MSTS01000168.1","NW_018344119.1",7028291
"phaCin_unsw_v4.1.fa.scaf00169","MSTS01000169.1","NW_018344120.1",7027789
"phaCin_unsw_v4.1.fa.scaf00170","MSTS01000170.1","NW_018344121.1",7020341
"phaCin_unsw_v4.1.fa.scaf00171","MSTS01000171.1","NW_018344122.1",6938297
"phaCin_unsw_v4.1.fa.scaf00172","MSTS01000172.1","NW_018344123.1",6892009
"phaCin_unsw_v4.1.fa.scaf00173","MSTS01000173.1","NW_018344124.1",6857650
"phaCin_unsw_v4.1.fa.scaf00174","MSTS01000174.1","NW_018344125.1",6727348
"phaCin_unsw_v4.1.fa.scaf00175","MSTS01000175.1","NW_018344126.1",6668520
"phaCin_unsw_v4.1.fa.scaf00176","MSTS01000176.1","NW_018344127.1",6603200
"phaCin_unsw_v4.1.fa.scaf00177","MSTS01000177.1","NW_018344128.1",6573328
"phaCin_unsw_v4.1.fa.scaf00178","MSTS01000178.1","NW_018344129.1",6490125
"phaCin_unsw_v4.1.fa.scaf00179","MSTS01000179.1","NW_018344130.1",6459238
"phaCin_unsw_v4.1.fa.scaf00180","MSTS01000180.1","NW_018344131.1",6425660
"phaCin_unsw_v4.1.fa.scaf00181","MSTS01000181.1","NW_018344132.1",6422660
"phaCin_unsw_v4.1.fa.scaf00182","MSTS01000182.1","NW_018344133.1",6376165
"phaCin_unsw_v4.1.fa.scaf00183","MSTS01000183.1","NW_018344134.1",6354681
"phaCin_unsw_v4.1.fa.scaf00184","MSTS01000184.1","NW_018344135.1",6300831
"phaCin_unsw_v4.1.fa.scaf00185","MSTS01000185.1","NW_018344136.1",6282647
"phaCin_unsw_v4.1.fa.scaf00186","MSTS01000186.1","NW_018344137.1",6190558
"phaCin_unsw_v4.1.fa.scaf00187","MSTS01000187.1","NW_018344138.1",6188305
"phaCin_unsw_v4.1.fa.scaf00188","MSTS01000188.1","NW_018344139.1",6176817
"phaCin_unsw_v4.1.fa.scaf00189","MSTS01000189.1","NW_018344140.1",6131098
"phaCin_unsw_v4.1.fa.scaf00190","MSTS01000190.1","NW_018344141.1",6129240
"phaCin_unsw_v4.1.fa.scaf00191","MSTS01000191.1","NW_018344142.1",6069290
"phaCin_unsw_v4.1.fa.scaf00192","MSTS01000192.1","NW_018344143.1",6055423
"phaCin_unsw_v4.1.fa.scaf00193","MSTS01000193.1","NW_018344144.1",6009810
"phaCin_unsw_v4.1.fa.scaf00194","MSTS01000194.1","NW_018344145.1",5967257
"phaCin_unsw_v4.1.fa.scaf00195","MSTS01000195.1","NW_018344146.1",5904458
"phaCin_unsw_v4.1.fa.scaf00196","MSTS01000196.1","NW_018344147.1",5901475
"phaCin_unsw_v4.1.fa.scaf00197","MSTS01000197.1","NW_018344148.1",5827285
"phaCin_unsw_v4.1.fa.scaf00198","MSTS01000198.1","NW_018344149.1",5807444
"phaCin_unsw_v4.1.fa.scaf00199","MSTS01000199.1","NW_018344150.1",5747001
"phaCin_unsw_v4.1.fa.scaf00200","MSTS01000200.1","NW_018344151.1",5742478
"phaCin_unsw_v4.1.fa.scaf00201","MSTS01000201.1","NW_018344152.1",5695235
"phaCin_unsw_v4.1.fa.scaf00202","MSTS01000202.1","NW_018344153.1",5588429
"phaCin_unsw_v4.1.fa.scaf00203","MSTS01000203.1","NW_018344154.1",5514706
"phaCin_unsw_v4.1.fa.scaf00204","MSTS01000204.1","NW_018344155.1",5513254
"phaCin_unsw_v4.1.fa.scaf00205","MSTS01000205.1","NW_018344156.1",5511487
"phaCin_unsw_v4.1.fa.scaf00206","MSTS01000206.1","NW_018344157.1",5504538
"phaCin_unsw_v4.1.fa.scaf00207","MSTS01000207.1","NW_018344158.1",5485079
"phaCin_unsw_v4.1.fa.scaf00208","MSTS01000208.1","NW_018344159.1",5466430
"phaCin_unsw_v4.1.fa.scaf00209","MSTS01000209.1","NW_018344160.1",5418910
"phaCin_unsw_v4.1.fa.scaf00210","MSTS01000210.1","NW_018344161.1",5384526
"phaCin_unsw_v4.1.fa.scaf00211","MSTS01000211.1","NW_018344162.1",5372090
"phaCin_unsw_v4.1.fa.scaf00212","MSTS01000212.1","NW_018344163.1",5252087
"phaCin_unsw_v4.1.fa.scaf00213","MSTS01000213.1","NW_018344164.1",5216946
"phaCin_unsw_v4.1.fa.scaf00214","MSTS01000214.1","NW_018344165.1",5114606
"phaCin_unsw_v4.1.fa.scaf00215","MSTS01000215.1","NW_018344166.1",5055967
"phaCin_unsw_v4.1.fa.scaf00216","MSTS01000216.1","NW_018344167.1",4977566
"phaCin_unsw_v4.1.fa.scaf00217","MSTS01000217.1","NW_018344168.1",4971029
"phaCin_unsw_v4.1.fa.scaf00218","MSTS01000218.1","NW_018344169.1",4959040
"phaCin_unsw_v4.1.fa.scaf00219","MSTS01000219.1","NW_018344170.1",4954156
"phaCin_unsw_v4.1.fa.scaf00220","MSTS01000220.1","NW_018344171.1",4937281
"phaCin_unsw_v4.1.fa.scaf00221","MSTS01000221.1","NW_018344172.1",4909621
"phaCin_unsw_v4.1.fa.scaf00222","MSTS01000222.1","NW_018344173.1",4825589
"phaCin_unsw_v4.1.fa.scaf00223","MSTS01000223.1","NW_018344174.1",4825343
"phaCin_unsw_v4.1.fa.scaf00224","MSTS01000224.1","NW_018344175.1",4821420
"phaCin_unsw_v4.1.fa.scaf00225","MSTS01000225.1","NW_018344176.1",4795491
"phaCin_unsw_v4.1.fa.scaf00226","MSTS01000226.1","NW_018344177.1",4653211
"phaCin_unsw_v4.1.fa.scaf00227","MSTS01000227.1","NW_018344178.1",4598828
"phaCin_unsw_v4.1.fa.scaf00228","MSTS01000228.1","NW_018344179.1",4582529
"phaCin_unsw_v4.1.fa.scaf00229","MSTS01000229.1","NW_018344180.1",4580114
"phaCin_unsw_v4.1.fa.scaf00230","MSTS01000230.1","NW_018344181.1",4545647
"phaCin_unsw_v4.1.fa.scaf00231","MSTS01000231.1","NW_018344182.1",4540380
"phaCin_unsw_v4.1.fa.scaf00232","MSTS01000232.1","NW_018344183.1",4522385
"phaCin_unsw_v4.1.fa.scaf00233","MSTS01000233.1","NW_018344184.1",4507161
"phaCin_unsw_v4.1.fa.scaf00234","MSTS01000234.1","NW_018344185.1",4418828
"phaCin_unsw_v4.1.fa.scaf00235","MSTS01000235.1","NW_018344186.1",4415245
"phaCin_unsw_v4.1.fa.scaf00236","MSTS01000236.1","NW_018344187.1",4401334
"phaCin_unsw_v4.1.fa.scaf00237","MSTS01000237.1","NW_018344188.1",4295414
"phaCin_unsw_v4.1.fa.scaf00238","MSTS01000238.1","NW_018344189.1",4290176
"phaCin_unsw_v4.1.fa.scaf00239","MSTS01000239.1","NW_018344190.1",4240951
"phaCin_unsw_v4.1.fa.scaf00240","MSTS01000240.1","NW_018344191.1",4224400
"phaCin_unsw_v4.1.fa.scaf00241","MSTS01000241.1","NW_018344192.1",4156659
"phaCin_unsw_v4.1.fa.scaf00242","MSTS01000242.1","NW_018344193.1",4126541
"phaCin_unsw_v4.1.fa.scaf00243","MSTS01000243.1","NW_018344194.1",4121171
"phaCin_unsw_v4.1.fa.scaf00244","MSTS01000244.1","NW_018344195.1",4081105
"phaCin_unsw_v4.1.fa.scaf00245","MSTS01000245.1","NW_018344196.1",4080708
"phaCin_unsw_v4.1.fa.scaf00246","MSTS01000246.1","NW_018344197.1",4080286
"phaCin_unsw_v4.1.fa.scaf00247","MSTS01000247.1","NW_018344198.1",4015420
"phaCin_unsw_v4.1.fa.scaf00248","MSTS01000248.1","NW_018344199.1",3834162
"phaCin_unsw_v4.1.fa.scaf00249","MSTS01000249.1","NW_018344200.1",3777654
"phaCin_unsw_v4.1.fa.scaf00250","MSTS01000250.1","NW_018344201.1",3772776
"phaCin_unsw_v4.1.fa.scaf00251","MSTS01000251.1","NW_018344202.1",3772303
"phaCin_unsw_v4.1.fa.scaf00252","MSTS01000252.1","NW_018344203.1",3748535
"phaCin_unsw_v4.1.fa.scaf00253","MSTS01000253.1","NW_018344204.1",3746430
"phaCin_unsw_v4.1.fa.scaf00254","MSTS01000254.1","NW_018344205.1",3711161
"phaCin_unsw_v4.1.fa.scaf00255","MSTS01000255.1","NW_018344206.1",3701240
"phaCin_unsw_v4.1.fa.scaf00256","MSTS01000256.1","NW_018344207.1",3675662
"phaCin_unsw_v4.1.fa.scaf00257","MSTS01000257.1","NW_018344208.1",3622260
"phaCin_unsw_v4.1.fa.scaf00258","MSTS01000258.1","NW_018344209.1",3622090
"phaCin_unsw_v4.1.fa.scaf00259","MSTS01000259.1","NW_018344210.1",3617583
"phaCin_unsw_v4.1.fa.scaf00260","MSTS01000260.1","NW_018344211.1",3607499
"phaCin_unsw_v4.1.fa.scaf00261","MSTS01000261.1","NW_018344212.1",3592516
"phaCin_unsw_v4.1.fa.scaf00262","MSTS01000262.1","NW_018344213.1",3566185
"phaCin_unsw_v4.1.fa.scaf00263","MSTS01000263.1","NW_018344214.1",3507541
"phaCin_unsw_v4.1.fa.scaf00264","MSTS01000264.1","NW_018344215.1",3481958
"phaCin_unsw_v4.1.fa.scaf00265","MSTS01000265.1","NW_018344216.1",3477107
"phaCin_unsw_v4.1.fa.scaf00266","MSTS01000266.1","NW_018344217.1",3477014
"phaCin_unsw_v4.1.fa.scaf00267","MSTS01000267.1","NW_018344218.1",3455053
"phaCin_unsw_v4.1.fa.scaf00268","MSTS01000268.1","NW_018344219.1",3453334
"phaCin_unsw_v4.1.fa.scaf00269","MSTS01000269.1","NW_018344220.1",3423423
"phaCin_unsw_v4.1.fa.scaf00270","MSTS01000270.1","NW_018344221.1",3408364
"phaCin_unsw_v4.1.fa.scaf00271","MSTS01000271.1","NW_018344222.1",3373160
"phaCin_unsw_v4.1.fa.scaf00272","MSTS01000272.1","NW_018344223.1",3359514
"phaCin_unsw_v4.1.fa.scaf00273","MSTS01000273.1","NW_018344224.1",3354234
"phaCin_unsw_v4.1.fa.scaf00274","MSTS01000274.1","NW_018344225.1",3334443
"phaCin_unsw_v4.1.fa.scaf00275","MSTS01000275.1","NW_018344226.1",3308571
"phaCin_unsw_v4.1.fa.scaf00276","MSTS01000276.1","NW_018344227.1",3252841
"phaCin_unsw_v4.1.fa.scaf00277","MSTS01000277.1","NW_018344228.1",3217013
"phaCin_unsw_v4.1.fa.scaf00278","MSTS01000278.1","NW_018344229.1",3209313
"phaCin_unsw_v4.1.fa.scaf00279","MSTS01000279.1","NW_018344230.1",3167524
"phaCin_unsw_v4.1.fa.scaf00280","MSTS01000280.1","NW_018344231.1",3144211
"phaCin_unsw_v4.1.fa.scaf00281","MSTS01000281.1","NW_018344232.1",3138359
"phaCin_unsw_v4.1.fa.scaf00282","MSTS01000282.1","NW_018344233.1",3057872
"phaCin_unsw_v4.1.fa.scaf00283","MSTS01000283.1","NW_018344234.1",2979027
"phaCin_unsw_v4.1.fa.scaf00284","MSTS01000284.1","NW_018344235.1",2953084
"phaCin_unsw_v4.1.fa.scaf00285","MSTS01000285.1","NW_018344236.1",2929481
"phaCin_unsw_v4.1.fa.scaf00286","MSTS01000286.1","NW_018344237.1",2826915
"phaCin_unsw_v4.1.fa.scaf00287","MSTS01000287.1","NW_018344238.1",2826446
"phaCin_unsw_v4.1.fa.scaf00288","MSTS01000288.1","NW_018344239.1",2823439
"phaCin_unsw_v4.1.fa.scaf00289","MSTS01000289.1","NW_018344240.1",2788922
"phaCin_unsw_v4.1.fa.scaf00290","MSTS01000290.1","NW_018344241.1",2761327
"phaCin_unsw_v4.1.fa.scaf00291","MSTS01000291.1","NW_018344242.1",2756348
"phaCin_unsw_v4.1.fa.scaf00292","MSTS01000292.1","NW_018344243.1",2733549
"phaCin_unsw_v4.1.fa.scaf00293","MSTS01000293.1","NW_018344244.1",2731218
"phaCin_unsw_v4.1.fa.scaf00294","MSTS01000294.1","NW_018344245.1",2693387
"phaCin_unsw_v4.1.fa.scaf00295","MSTS01000295.1","NW_018344246.1",2678646
"phaCin_unsw_v4.1.fa.scaf00296","MSTS01000296.1","NW_018344247.1",2660991
